time,Lyman_alpha,MgII,au_factor,Lyman_alpha_corr,MgII_corr
2018-01-06,0.006439824,0.26317284,0.9669156,0.0062267664,0.2544659
2018-01-07,0.0064353505,0.2631268,0.9669615,0.006222736,0.25443348
2018-01-08,0.006475056,0.26332846,0.96701825,0.0062614973,0.25464344
2018-01-09,0.006489382,0.26335946,0.9670852,0.006275785,0.25469103
2018-01-10,0.0065228636,0.26349193,0.96716183,0.0063086646,0.25483933
2018-01-11,0.006537453,0.26355052,0.9672476,0.0063233357,0.2549186
2018-01-12,0.0064967065,0.26340505,0.96734214,0.006284538,0.25480282
2018-01-13,0.0064924727,0.26335225,0.96744496,0.00628111,0.2547788
2018-01-14,0.0065417965,0.2635396,0.9675558,0.006329553,0.2549893
2018-01-15,0.006564495,0.26362917,0.9676744,0.006352294,0.2551072
2018-01-16,0.0065876446,0.2637926,0.9678004,0.0063755247,0.25529858
2018-01-17,0.0065638013,0.26377028,0.9679339,0.0063533257,0.2553122
2018-01-18,0.0065558897,0.26373005,0.9680746,0.0063465904,0.25531036
2018-01-19,0.006528499,0.26364025,0.96822274,0.0063210414,0.2552625
2018-01-20,0.0064737257,0.26342452,0.9683782,0.006269015,0.25509456
2018-01-21,0.0063925376,0.26315516,0.9685412,0.006191436,0.2548766
2018-01-22,0.006390018,0.2631289,0.968712,0.0061900867,0.25489613
2018-01-23,0.0064037,0.2631725,0.96889114,0.006204488,0.2549855
2018-01-24,0.006359329,0.2629675,0.96907866,0.00616269,0.2548362
2018-01-25,0.006352292,0.26295653,0.96927536,0.00615712,0.25487727
2018-01-26,0.0063125407,0.26276103,0.9694816,0.006119892,0.25474197
2018-01-27,0.0063179717,0.26276067,0.969698,0.0061265244,0.2547985
2018-01-28,0.0062793256,0.26258922,0.9699254,0.0060904776,0.25469196
2018-01-29,0.0062743397,0.26258442,0.97016406,0.006087139,0.25474995
2018-01-30,0.0063107605,0.2627732,0.97041446,0.006124053,0.2549989
2018-01-31,0.0063522994,0.2629473,0.97067666,0.006166029,0.2552368
2018-02-01,0.006354432,0.26296678,0.97095114,0.006169843,0.2553279
2018-02-02,0.0063670287,0.26302063,0.9712372,0.006183895,0.25545543
